station_name,station_code,time_index,target,prediction,horizon
锦屏中学,3495A,137,43.0,50.8614501953125,6
锦屏中学,3495A,138,36.0,51.991886138916016,6
锦屏中学,3495A,139,34.0,47.21803665161133,6
锦屏中学,3495A,140,31.000001907348633,38.06364440917969,6
锦屏中学,3495A,141,33.0,38.7149772644043,6
锦屏中学,3495A,142,26.999998092651367,30.106285095214844,6
锦屏中学,3495A,143,23.0,19.811824798583984,6
锦屏中学,3495A,144,24.0,16.428665161132812,6
锦屏中学,3495A,145,36.0,11.916215896606445,6
锦屏中学,3495A,146,34.0,10.514667510986328,6
锦屏中学,3495A,147,34.0,14.088732719421387,6
锦屏中学,3495A,148,26.0,9.156665802001953,6
锦屏中学,3495A,149,38.0,16.699127197265625,6
锦屏中学,3495A,150,56.0,25.72941780090332,6
锦屏中学,3495A,151,70.0,31.660099029541016,6
锦屏中学,3495A,152,68.0,50.45778274536133,6
锦屏中学,3495A,153,72.0,52.31986618041992,6
锦屏中学,3495A,154,69.0,58.580650329589844,6
锦屏中学,3495A,155,63.0,71.37506866455078,6
锦屏中学,3495A,156,61.000003814697266,80.61376953125,6
锦屏中学,3495A,157,57.0,64.21498107910156,6
锦屏中学,3495A,158,39.0,54.193119049072266,6
锦屏中学,3495A,159,26.0,38.96097183227539,6
锦屏中学,3495A,160,32.0,32.3558349609375,6
锦屏中学,3495A,161,22.0,19.226625442504883,6
锦屏中学,3495A,162,29.0,14.855417251586914,6
锦屏中学,3495A,163,39.0,17.464548110961914,6
锦屏中学,3495A,164,53.0,25.115388870239258,6
锦屏中学,3495A,165,56.0,21.290205001831055,6
锦屏中学,3495A,166,61.000003814697266,27.872133255004883,6
锦屏中学,3495A,167,62.000003814697266,31.978342056274414,6
大兴旧宫,3675A,0,2.0,3.999342441558838,6
大兴旧宫,3675A,1,2.0,3.553750514984131,6
大兴旧宫,3675A,2,2.0,4.08170747756958,6
大兴旧宫,3675A,3,2.0,2.675778388977051,6
大兴旧宫,3675A,4,2.0,3.07383394241333,6
大兴旧宫,3675A,5,2.0,2.8817343711853027,6
大兴旧宫,3675A,6,5.0,6.336253643035889,6
大兴旧宫,3675A,7,8.0,16.82940101623535,6
大兴旧宫,3675A,8,13.0,25.542869567871094,6
大兴旧宫,3675A,9,41.0,38.187744140625,6
大兴旧宫,3675A,10,55.000003814697266,43.627708435058594,6
大兴旧宫,3675A,11,53.0,44.9609375,6
大兴旧宫,3675A,12,50.0,49.71718215942383,6
大兴旧宫,3675A,13,48.0,42.40148162841797,6
大兴旧宫,3675A,14,37.0,30.992036819458008,6
大兴旧宫,3675A,15,8.0,27.417465209960938,6
大兴旧宫,3675A,16,2.0,20.90357780456543,6
大兴旧宫,3675A,17,2.0,12.785131454467773,6
